Surface tension in mN * m-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
LiBr-LiCl,12-88,P1,900,1070,,211.1,-0.0816,,,,,
LiBr-LiCl,25-75,P1,910,1070,,206.8,-0.0796,,,,,
LiBr-LiCl,37-63,P1,900,1070,,203.,-0.0778,,,,,
LiBr-LiCl,50-50,P1,900,1070,,200.8,-0.0778,,,,,
LiBr-LiCl,63-37,P1,910,1080,,195.5,-0.0744,,,,,
LiBr-LiCl,75-25,P1,900,1080,,192.7,-0.0735,,,,,
LiBr-LiCl,88-12,P1,910,1070,,189.5,-0.0719,,,,,
LiBr-LiCl,100-0,P1,900,1080,,185.2,-0.0691,,,,"For 100% LiBr, the results have been advanced as the recommended data set.",
LiBr-LiF,0-100,P1,1140,1290,,350.2,-0.0986,,,,"For 100% LiF, the departures from the recommended data set are: 1140 K, +1.7%,1290 K, +1.8%.",
LiBr-LiF,12-88,P1,1110,1280,,316.8,-0.0952,,,,,
LiBr-LiF,25-75,P1,1080,1270,,286.1,-0.0897,,,,,
LiBr-LiF,37-63,P1,1020,1250,,263.2,-0.086,,,,,
LiBr-LiF,50-50,P1,960,1210,,240.3,-0.081,,,,,
LiBr-LiF,63-37,P1,930,1140,,224.6,-0.0797,,,,,
LiBr-LiF,75-25,P1,890,1120,,209.8,-0.0762,,,,,
LiBr-LiF,88-12,P1,900,1130,,196.1,-0.0725,,,,,
LiBr-LiF,100-0,P1,890,1130,,185.2,-0.0691,,,,"For 100% LiBr, the results have been advanced as the recommended data set.",
LiBr-LiI,0-100,P1,870,1110,,140.7,-0.0565,,,,"For 100% LiI, the results have been advanced as the recommended data set.",
LiBr-LiI,25-75,P1,890,1100,,148.3,-0.058,,,,,
LiBr-LiI,50-50,P1,870,1100,,159.5,-0.062,,,,,
LiBr-LiI,75-25,P1,880,1110,,171.4,-0.0661,,,,,
LiBr-LiI,100-0,P1,880,1120,,185.2,-0.0691,,,,"For 100% LiBr, the results have been advanced as the recommended data set.",
LiBr-NaBr,39.5-60.5 NaBr,I2,1073,,,99.531,-0.02162,2.104E-5,,,,
LiBr-RbBr,40-60 RbBr,I2,1073,,,79.804,0.2448,-0.003498,,,,
LiCl,100,P1,903,1060,1%,189.28,-0.06973,,,,,
LiCl-LiF,0-100,P1,1100,1240,,350.2,-0.0986,,,,"For 100% LiF, the departures from the recommended data set are: 1100 K, +1.7%,1240 K, +1.8%.",
LiCl-LiF,12-88,P1,1100,1220,,323.8,-0.0949,,,,,
LiCl-LiF,25-75,P1,1070,1200,,303.3,-0.0958,,,,,
LiCl-LiF,37-63,P1,1060,1190,,281.7,-0.0922,,,,,
LiCl-LiF,50-50,P1,1020,1160,,264.4,-0.0913,,,,,
LiCl-LiF,63-37,P1,970,1150,,250.,-0.0906,,,,,
LiCl-LiF,75-25,P1,960,1140,,234.1,-0.0853,,,,,
LiCl-LiF,88-12,P1,930,1110,,223.2,-0.0842,,,,,
LiCl-LiI,0-100,P1,860,1110,,140.7,-0.0565,,,,"For 100% LiI, the results have been advanced as the recommended data set.",
LiCl-LiI,25-75,P1,840,1090,,153.5,-0.0617,,,,,
LiCl-LiI,50-50,P1,910,1110,,169.4,-0.0673,,,,,
LiCl-LiI,75-25,P1,880,1090,,189.6,-0.0738,,,,,
LiCl-Li2CO3,30-70,P1,970,1050,,227.57,-0.03737,,,,,
LiCl-Li2CO3,50-50,P1,930,1030,,240.39,-0.07437,,,,,
LiCl-Li2CO3,60-40,P1,890,970,,204.04,-0.04663,,,,,
LiCl-Li2CO3,70-30,P1,810,1013,,203.44,-0.05511,,,,,
LiCl-Li2CO3,80-20,P1,830,1030,,194.04,-0.05585,,,,,
LiCl-Li2CO3,90-10,P1,838,1018,,195.57,-0.06312,,,,,
LiCl-Li2CrO4,0-100 LiCl,I3,1173,,,202.93,-1.202,9.24E-3,-6.432E-5,,The agreemnt of the Polynomial with measurements is within 3.5%.,
LiCl-MgCl2,0.0-100.0,P1,1010,1160,,65.3426,-0.003073,,,,"For 100% MgCl2, the results have been advanced as the recommended data set.",
LiCl-MgCl2,26.5-73.5,P1,950,1060,,86.0789,-0.013302,,,,,
LiCl-MgCl2,43.6-56.4,P1,970,1080,,105.1314,-0.025978,,,,,
LiCl-MgCl2,46.9-53.1,P1,940,1040,,109.3989,-0.026473,,,,,
LiCl-MgCl2,54.6-45.4,P1,980,1080,,110.3943,-0.024826,,,,,
LiCl-MgCl2,63.8-36.2,P1,920,1020,,127.1996,-0.035963,,,,,
LiCl-MgCl2,82.0-18.0,P1,990,1040,,149.7022,-0.047791,,,,,
LiCl-MgCl2,82.8-17.2,P1,950,1040,,152.5166,-0.04987,,,,,
LiCl-MgCl2,100.0-0.0,P1,903,1060,,189.28,-0.06973,,,,"For 100% LiCl, the results have been advanced as the recommended data set.",
LiCl-NaCl,0-100,P1,1110,1170,,209.0422,-0.084345,,,,"For 100% NaCl, the departures from the recommended data set are: 1110 K, +3.6%, 1170 K, +3.1%.",
LiCl-NaCl,40-60,P1,980,1170,,197.2639,-0.073786,,,,,
LiCl-NaCl,60-40,P1,980,1170,,203.5707,-0.078974,,,,,
LiCl-NaCl,80-20,P1,980,1100,,206.048,-0.080691,,,,,
LiCl-NaCl,100-0,P1,930,1120,,187.6507,-0.061781,,,,"For 100% LiCl, the departures from the recommended data set are: 930 K, +4.6%,1120 K, +6.5%.",
LiCl-Na2B4O7,100-40 Na2B4O7,I3,1223,,,392.2,-12.29,0.1944,-8.77E-4,,"For 100% Na2B4O7 at 1223 K, the departure from the recommended data set is -0.6%.",
LiCl-PbCl2,0.0-100.0,P1,791,845,,233.7,-0.124,,,,"For 100% PbCl2, the results have been advanced as the recommended data set.",
LiCl-PbCl2,30.10-69.90,P1,775,870,,200.8931,-0.087107,,,,,
LiCl-PbCl2,35.75-64.25,P1,775,845,,226.3552,-0.118665,,,,,
LiCl-PbCl2,49.39-50.61,P1,775,845,,209.6978,-0.09848,,,,,
LiCl-PbCl2,50.37-49.63,P1,775,845,,194.0891,-0.079463,,,,,
LiCl-PbCl2,68.74-31.26,P1,810,820,,211.7828,-0.102165,,,,,
LiCl-PbCl2,73.63-26.37,P1,850,870,,200.9088,-0.088542,,,,,
LiCl-RbCl,0-10 RbCl,I4,1023.2,,,126.82,-6.218,2.0118,-0.29664,0.014382,"For 100% LiCl at 1023 K, the departure from the recommended data set is +7.5%.",
LiCl-UCl4,0-100,P1,883,923,,139.33,-0.1125,,,,"For 100% UCl4, the departures from the recommended data set are: 880 K, -4.3%,920 K, +3.1%.",
LiCl-UCl4,7.20-92.80,P1,883,923,,128.79,-0.1,,,,,
LiCl-UCl4,25.64-74.36,P1,883,923,,109.71,-0.07499,,,,,
LiCl-UCl4,38.75-61.25,P1,883,923,,122.75,-0.08749,,,,,
LiCl-UCl4,40.62-59.38,P1,883,923,,124.26,-0.0875,,,,,
LiCl-UCl4,46.61-53.39,P1,883,923,,114.21,-0.07499,,,,,
LiCl-UCl4,52.68-47.32,P1,883,923,,87.11,-0.03749,,,,,
LiCl-UCl4,55.84-44.16,P1,883,923,,68.04,-0.0125,,,,,
LiCl-UCl4,66.11-33.89,P1,883,923,,97.607,-0.03749,,,,,
LiCl-UCl4,67.50-32.50,P1,883,923,,94.607,-0.03749,,,,,
LiCl-UCl4,72.62-27.38,P1,883,923,,110.15,-0.05,,,,,
LiCl-UCl4,82.10-17.90,P1,883,923,,189.9,-0.1375,,,,,
LiCl-UCl4,86.24-13.76,P1,883,923,,224.7,-0.1725,,,,,
LiCl-UCl4,91.53-8.47,P1,883,923,,209.43,-0.15,,,,,
LiCl-UCl4,95.70-4.30,P1,883,923,,282.13,-0.2125,,,,,
LiCl-UCl4,100-0,P1,883,923,,289.16,-0.16,,,,"For 100% LiCl, the departures from the recommended data set are: 890 K, +15.4%, 920 K, +13.5%.",
LiClO3,100,P1,403,433,2%,115.6,-0.0692,,,,,
LiClO3-LiNO3,78.7-21.3,P1,400,440,,117.06,-0.06054,,,,,
LiClO3-LiNO3,82.8-17.2,P1,410,430,,109.66,-0.04386,,,,,
LiClO3-LiNO3,92.5-7.5,P1,410,430,,112.7,-0.05609,,,,,
LiClO3-LiNO3,96.8-3.2,P1,410,430,,107.76,-0.04676,,,,,
LiClO4,100,P1,613,693,,117.3,-0.52,,,,Accuracy set at +/-2% (comparisons with recommended values).,Function produces value(s) below zero.
LiClO4-LiNO3,0-100,P1,613,693,,148.9,-0.061,,,,"For LiNO3 (100%,690K) the departure from the recommended value is 2%.",
LiClO4-LiNO3,10-90,P1,613,693,,137.4,-0.052,,,,,
LiClO4-LiNO3,30-70,P1,613,693,,121.2,-0.044,,,,,
LiClO4-LiNO3,55-45,P1,613,693,,119.1,-0.052,,,,,
LiClO4-LiNO3,90-10,P1,613,693,,119.05,-0.054,,,,,
LiClO4-LiNO3,100-0,P1,613,693,,117.3,-0.052,,,,,
LiF,100,P1,1141,1533,3%,346.5,-0.0988,,,,,
LiF-LiI,0-100,P1,870,1100,,140.7,-0.0565,,,,"For 100% LiI, the results have been advanced as the recommended data set.",
LiF-LiI,25-75,P1,890,1100,,164.1,-0.0617,,,,,
LiF-LiI,50-50,P1,690,1170,,204.7,-0.0749,,,,,
LiF-LiI,75-25,P1,1080,1220,,263.5,-0.0884,,,,,
LiF-LiI,100-0,P1,1140,1240,,350.2,-0.0986,,,,"For 100% LiF, the departures from the recommended data set are: 1140 K, +1.7%,1240 K, +1.8%.",
LiF-NaF,60-40,P1,973,1226,,321.87,-0.099357,,,,,
LiF-ThF4,50-50,P1,1152,1232,3%,399.2,-0.143,,,,"Relative to the recommended data base for LiF, the accuracy limits of +/- 3.0%can be assumed.",
LiF-ThF4,60-40,P1,1079,1172,3%,420.1,-0.165,,,,"Relative to the recommended data base for LiF, the accuracy limits of +/- 3.0%can be assumed.",
LiF-ThF4,66.7-33.3,P1,1008,1147,3%,406.5,-0.15,,,,"Relative to the recommended data base for LiF, the accuracy limits of +/- 3.0%can be assumed.",
LiF-ThF4,70-30,P1,1075,1147,3%,410.6,-0.151,,,,"Relative to the recommended data base for LiF, the accuracy limits of +/- 3.0%can be assumed.",
LiF-ThF4,80-20,P1,959,1102,3%,398.,-0.134,,,,"Relative to the recommended data base for LiF, the accuracy limits of +/- 3.0%can be assumed.",
LiI,100,P1,743,984,1.5%,125.68,-0.04302,,,,,
LiNO3,100,P1,570,770,1.5%,144.9,-0.055,,,,,
LiNO3-RbNO3,25-75,P1,467.5,670,,150.5,-0.075,,,,,
LiNO3-RbNO3,32-68,P1,445,670,,151.4,-0.075,,,,,
LiNO3-RbNO3,50-50,P1,460,670,,149.8,-0.074,,,,,
LiNO3-RbNO3,75-25,P1,497.6,670,,141.1,-0.059,,,,,
LiOH-Li2CO3,30-0 LiOH,I2,1038,,,242.5,-0.4932,-0.005415,,,"For 100% Li2CO3 at 1038 K, the results are in exact accord with the recommended data set.",
LiPO3,100,P1,1028,1345,,212.2,-0.0222,,,,,
LiPO3-NaPO3,0-100,P1,1030,1410,,237.02,-0.0488,,,,"For 100% NaPO3, the departures from the recommended data set are: 1030 K, -0.5%, 1410 K, -5.1%.",
LiPO3-NaPO3,10.06-89.94,P1,1030,1410,,237.12,-0.0484,,,,,
LiPO3-NaPO3,20.02-79.98,P1,1030,1410,,235.91,-0.0469,,,,,
LiPO3-NaPO3,30.01-69.99,P1,1030,1410,,235.22,-0.0455,,,,,
LiPO3-NaPO3,40.01-59.99,P1,1030,1410,,234.52,-0.0444,,,,,
LiPO3-NaPO3,50.06-49.94,P1,1030,1410,,234.73,-0.0437,,,,,
LiPO3-NaPO3,60.08-39.92,P1,1030,1410,,230.88,-0.0395,,,,,
LiPO3-NaPO3,71.21-28.79,P1,1030,1410,,228.19,-0.0355,,,,,
LiPO3-NaPO3,79.92-20.08,P1,1030,1410,,227.94,-0.0342,,,,,
LiPO3-NaPO3,90-10,P1,1030,1410,,224.04,-0.0302,,,,,
LiPO3-NaPO3,100-0,P1,1030,1410,,218.28,-0.0241,,,,"For 100% LiPO3, the departures from the recommended data set are: 1030 K, +2.2%, 1410 K, +1.9%.",
Li2CO3,100,P1,1023,1123,1.5%,284.6,-0.0406,,,,,
Li2CO3-Li2O,100-60 Li2CO3,I3,1038,,,-809.2,39.98,-0.4919,0.001974,,"For 100% Li2CO3 at 1038 K, the departure from the recommended data set is +0.55%.",
Li2CO3-Na2CO3,0-100,P1,1143,1170,,292.2,-0.072,,,,"For 100% Na2CO3, the departures from the recommended data set are: 1145 K, -0.6%, 1170 K, -0.9%.",
Li2CO3-Na2CO3,10-90,P1,1090,1170,,279.3,-0.0563,,,,,
Li2CO3-Na2CO3,30-70,P1,970,1170,,307.8,-0.0779,,,,,
Li2CO3-Na2CO3,50-50,P1,830,1190,,308.,-0.0745,,,,,
Li2CO3-Na2CO3,53.3-46.7,P1,830,1010,,313.5,-0.0766,,,,,
Li2CO3-Na2CO3,70-30,P1,910,1170,,298.1,-0.0604,,,,,
Li2CO3-Na2CO3,90-10,P1,990,1190,,289.,-0.0482,,,,,
Li2CO3-Na2CO3,100-0,P1,1010,1170,,281.5,-0.0366,,,,"For 100% Li2CO3, the departures from the recommended data set are: 1030 K, +0.4%, 1170 K, +0.7%.",
Li2CO3-SiO2,100-85 Li2CO3,I2,1038,,,-790.5,23.55,-0.1324,,,"For 100% Li2CO3 at 1038 K, the value is in exact accord with the recommended data set.",
Li2CO3-Tl2O3,100-97 Li2CO3,I1,1038,,,-739.95,9.802,,,,"For 100% Li2CO3 at 1038 K, the value is in exact accord with the recommended data set.",
Li2CrO4,100,P1,850,970,,275.9,-0.0624,,,,Accuracy set at 1-2% (comparison with recommended values).,
Li2MoO4,100,P1,1013,1281,2%,367.49,-0.1282,,,,,
Li2MoO4-MoO3,30-70,P1,1070,1220,,180.95,-0.05849,,,,,
Li2MoO4-MoO3,40-60,P1,920,1250,,203.77,-0.06488,,,,,
Li2MoO4-MoO3,60-40,P1,980,1280,,217.46,-0.05877,,,,,
Li2MoO4-MoO3,80-20,P1,1040,1250,,233.47,-0.05342,,,,,
Li2MoO4-MoO3,100-0,P1,1110,1290,,276.08,-0.05786,,,,"For 100% Li2MoO4, the departures from the recommended data set are: 1110 K, -5.9%, 1280 K, -0.7%.",
Li2MoO4-Na2MoO4,0-100,P1,1001,1132,,288.84,-0.08173,,,,"For 100% Na2MoO4, the departures from the recommended data set are: 1000 K, -1.1%, 1130 K, -1.5%.",
Li2MoO4-Na2MoO4,20-80,P1,870,1070,,293.22,-0.084326,,,,,
Li2MoO4-Na2MoO4,38-62,P1,770,950,,295.52,-0.08305,,,,,
Li2MoO4-Na2MoO4,45-55,P1,830,990,,306.17,-0.08975,,,,,
Li2MoO4-Na2MoO4,52-48,P1,810,990,,326.87,-0.1059,,,,,
Li2MoO4-Na2MoO4,75-25,P1,890,1070,,336.07,-0.10795,,,,,
Li2MoO4-Na2MoO4,100-0,P1,1013,1281,,367.49,-0.1282,,,,"For 100% Li2MoO4, the results have been advanced as the recommended data set.",
Li2SiO3,100,P1,1527,1874,,490.268,-0.077906,,,,,
Li2SO4,100,P1,1133,1373,2%,301.,-0.0672,,,,,
Li2SO4-NaCl,0-100,P1,1173,1373,,191.72,-0.07,,,,"For 100% NaCl, the departures from the recommended data set are: 1170 K, +2.7%, 1370 K, +3.7%.",
Li2SO4-NaCl,25-75,P1,1173,1373,,218.42,-0.074,,,,,
Li2SO4-NaCl,50-50,P1,1173,1373,,233.47,-0.072,,,,,
Li2SO4-NaCl,70-30,P1,1173,1373,,236.64,-0.058,,,,,
Li2SO4-NaCl,90-10,P1,1173,1373,,269.39,-0.06,,,,,
Li2SO4-NaCl,97.5-2.5,P1,1173,1373,,281.94,-0.062,,,,,
Li2SO4-NaCl,98-2,P1,1173,1373,,294.32,-0.07,,,,,
Li2SO4-NaCl,98.5-1.5,P1,1173,1373,,289.63,-0.066,,,,,
Li2SO4-NaCl,99-1,P1,1173,1373,,292.23,-0.066,,,,,
Li2SO4-NaCl,100-0,P1,1173,1373,,300.08,-0.064,,,,"For 100% Li2SO4, the results have been advanced as the recommended data set.",
Li2SO4-NaPO3,0-100,P1,940,1100,,228.7,-0.0398,,,,"For 100% NaPO3, the results have been advanced as the recommended data set.",
Li2SO4-NaPO3,10-90,P1,780,980,,224.8,-0.0352,,,,,
Li2SO4-RbCl,0-100,P1,1173,1373,,181.15,-0.084,,,,"For 100% RbCl, the departures from the recommended data set are: 1190 K, +1.4%, 1370 K, -0.9%.",
Li2SO4-RbCl,40-60,P1,1173,1373,,184.58,-0.068,,,,,
Li2SO4-RbCl,60-40,P1,1173,1373,,199.13,-0.062,,,,,
Li2SO4-RbCl,70-30,P1,1173,1323,,210.4,-0.06,,,,,
Li2SO4-RbCl,80-20,P1,1173,1373,,215.6,-0.052,,,,,
Li2SO4-RbCl,90-10,P1,1173,1373,,245.1,-0.056,,,,,
Li2SO4-RbCl,97-3,P1,1173,1373,,252.86,-0.05,,,,,
Li2SO4-RbCl,98-2,P1,1173,1373,,265.55,-0.054,,,,,
Li2SO4-RbCl,98.5-1.5,P1,1173,1373,,278.14,-0.062,,,,,
Li2SO4-RbCl,99-1,P1,1173,1273,,278.71,-0.06,,,,,
Li2SO4-RbCl,99.25-0.75,P1,1173,1373,,285.43,-0.06501,,,,,
Li2SO4-RbCl,99.5-0.5,P1,1173,1373,,286.63,-0.066,,,,,
Li2SO4-RbCl,99.75-0.25,P1,1173,1373,,291.03,-0.066,,,,,
Li2SO4-RbCl,100-0,P1,1173,1373,,300.08,-0.064,,,,"For 100% Li2SO4, the departures from the recommended data set are: 1170 K, +1.4%, 1370 K, +1.7%.",
Li2WO4,100,P1,1030,1236,2%,322.59,-0.084855,,,,,
Li2WO4-Na2WO4,0-100,P1,969,1179,,254.095,-0.0552521,,,,"For 100% Na2WO4, the departures from the recommended data set are: 970 K, -2.0%, 1180 K, -0.6%.",
Li2WO4-Na2WO4,15-85,P1,952,1065,,298.5,-0.089915,,,,,
Li2WO4-Na2WO4,30-70,P1,889,1097,,278.635,-0.0676386,,,,,
Li2WO4-Na2WO4,40-60,P1,813,1036,,283.02,-0.06527,,,,,
Li2WO4-Na2WO4,52.6-47.4,P1,779,1005,,304.84,-0.08659,,,,,
Li2WO4-Na2WO4,70-30,P1,887,1088,,285.53,-0.06312,,,,,
Li2WO4-Na2WO4,85-15,P1,994,1162,,293.86,-0.0671567,,,,,
Li2WO4-Na2WO4,100-0,P1,1030,1236,,322.59,-0.084855,,,,"For 100% Li2WO4, the results have been advanced as the recommended data set.",
Li2WO4-WO3,50-50,P1,1120,1200,,284.4,-0.07641,,,,,
Li2WO4-WO3,70-30,P1,1000,1240,,284.19,-0.07628,,,,,
Li2WO4-WO3,100-0,P1,1080,1270,,279.48,-0.05556,,,,"For 100% Li2WO4, the departures from the recommended data set are: 1080 K, -5.0%, 1270 K, -2.8%.",
Mg(PO3)2,100,P1,1430,1500,,279.99,-0.0366,,,,,
MgCl2,100,P1,1010,1160,1%,65.3426,-0.003073,,,,,
MgCl2-NaCl,0-100,P1,1090,1220,,187.,-0.068,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, +0.06%, 1220 K, -0.6%.",
MgCl2-NaCl,10-90,P1,1030,1170,,163.9,-0.056,,,,,
MgCl2-NaCl,20-80,P1,980,1170,,142.7,-0.043,,,,,
MgCl2-NaCl,30-70,P1,980,1170,,130.1,-0.035,,,,,
MgCl2-NaCl,40-60,P1,980,1170,,124.4,-0.033,,,,,
MgCl2-NaCl,50-50,P1,980,1170,,114.7,-0.027,,,,,
MgCl2-NaCl,60-40,P1,980,1170,,105.5,-0.023,,,,,
MgCl2-NaCl,70-30,P1,980,1170,,98.5,-0.02,,,,,
MgCl2-NaCl,80-20,P1,980,1170,,88.1,-0.014,,,,,
MgCl2-NaCl,90-10,P1,980,1170,,81.8,-0.012,,,,,
MgCl2-NaCl,100-0,P1,1000,1180,,76.7,-0.01,,,,"For 100% MgCl2, the departures from the recommended data set are: 1030 K, +6.8%, 1190 K, +5.0%.",
MgCl2-RbCl,0.0-100.0,P1,1009,1113,,169.38,-0.07512,,,,"For 100% RbCl, the results have been advanced as the recommended data set.",
MgCl2-RbCl,5.6-94.4,P1,1040,1110,,152.4464,-0.06278,,,,,
MgCl2-RbCl,15.1-84.9,P1,1010,1090,,152.4109,-0.06681,,,,,
MgCl2-RbCl,24.5-75.5,P1,1030,1120,,128.8105,-0.047538,,,,,
MgCl2-RbCl,31.2-68.8,P1,1030,1110,,123.7692,-0.045565,,,,,
MgCl2-RbCl,33.3-66.7,P1,970,1080,,122.6536,-0.044621,,,,,
MgCl2-RbCl,37.0-63.0,P1,1030,1110,,130.0286,-0.052186,,,,,
MgCl2-RbCl,48.4-51.6,P1,1010,1090,,120.8727,-0.045257,,,,,
MgCl2-RbCl,68.1-31.9,P1,1010,1070,,117.8016,-0.044561,,,,,
MgCl2-RbCl,85.7-14.3,P1,1030,1110,,97.0127,-0.027599,,,,,
MgCl2-RbCl,92.3-7.7,P1,1030,1100,,86.5949,-0.019163,,,,,
MgCl2-RbCl,100.0-0.0,P1,1010,1160,,65.3426,-0.003073,,,,"For 100% MgCl2, the results have been advanced as the recommended data set.",
MgSiO3,100,P1,1813,1893,,197.3,0.098,,,,,
MnCl2,100,DP,,,,89.2,1073K,,,,Accuracy set at +/-15% (comparison with recommended values).,
MnSiO3,100,P1,1723,1853,,256.5,0.086,,,,,
Mn2SiO4,100,P1,1673,1873,,464.3,0.015,,,,,Function produces unexpectedly large value(s).
MoO3-Na2MoO4,0-100,P1,1110,1290,,259.71,-0.06658,,,,"For 100% Na2MoO4, the departures from the recommended data set are: 1110 K, -4.7%, 1290 K, -4.7%.",
MoO3-Na2MoO4,20-80,P1,990,1230,,236.78,-0.06827,,,,,
MoO3-Na2MoO4,40-60,P1,930,1230,,219.95,-0.06913,,,,,
MoO3-Na2MoO4,60-40,P1,990,1230,,205.18,-0.07382,,,,,
MoO3-Na2MoO4,70-30,P1,1050,1230,,187.8,-0.06728,,,,,
MoO3-Na2MoO4,80-20,P1,1050,1260,,172.42,-0.06579,,,,,
NaBF4,100,P1,700,780,1.5%,140.48,-0.075,,,,,
NaBF4-NaF,92-8,P1,670,850,,150.,-0.075,,,,,
NaBF4-NaF,100-0,P1,700,780,,140.48,-0.075,,,,"For 100% NaBF4, the results have been advanced as the recommended data set.",
NaBO2,100,P1,1288,1714,3%,404.1,-0.163,,,,,
NaBr,100,P1,1035,1184,1.5%,164.93,-0.06276,,,,,
NaBr-NaCl,0-100,P1,1090,1180,,197.3,-0.074,,,,"For 100% NaCl, the results fall uniformly about 3.5% above the recommended data set.",
NaBr-NaCl,50-50,P1,1030,1170,,185.,-0.072,,,,,
NaBr-NaCl,100-0,P1,1040,1130,,175.3,-0.07,,,,"For 100% NaBr, the departures from the recommended data set are: 1040 K, 0.0%,1120 K, +0.6%.",
NaBr-RbBr,0-100,P1,1000,1100,,157.7,-0.072,,,,"For 100% RbBr, the results have been advanced as the recommended data set.",
NaBr-RbBr,25-75,P1,880,1160,,160.,-0.072,,,,,
NaBr-RbBr,50-50,P1,800,1160,,160.3,-0.069,,,,,
NaBr-RbBr,75-25,P1,920,1160,,166.4,-0.07,,,,,
NaBr-RbBr,100-0,P1,1040,1120,,175.3,-0.07,,,,"For 100% NaBr, the departures from the recommended data set are: 1060 K, 0.0%,1120 K, +0.6%.",
NaCl,100,P1,1080,1240,0.5%,191.16,-0.07188,,,,Accuracy set at +/-15% (comparisons with recommended values).,
NaCl-NaF,10-90 NaCl,I4,1273,,,208.8,-6.135,0.1591,-0.001843,7.736E-6,,
NaCl-NaF-NaI,31.6-15.2-53.2,P1,820,1020,2%,152.,0.06,,,,,
NaCl-NaNO3,10-90,DP,,,,110.1,743K,,,,,
NaCl-Na2O,99.28-0.72,P1,1190,1270,,269.8,-0.1175,,,,,
NaCl-Na2O,99.52-0.48,P1,1190,1270,,222.6,-0.0893,,,,,
NaCl-Na2O,99.65-0.35,P1,1190,1270,,171.9,-0.0962,,,,,
NaCl-Na2O,99.80-0.20,P1,1190,1270,,186.4,-0.0795,,,,,
NaCl-Na2O,99.90-0.10,P1,1190,1270,,178.1,-0.0652,,,,,
NaCl-Na2O,100.0-0.0,P1,1190,1270,,225.,-0.0981,,,,"For 100% NaCl, the departures from the recommended data set are: 1190 K, +2.9%, 1270 K, +0.5%.",
NaCl-Na2SO4,0-100,P1,1170,1460,,269.,-0.066,,,,"For 100% Na2SO4, the results have been advanced as the recommended data set.",
NaCl-Na2SO4,25-75,P1,1000,1470,,248.4,-0.07,,,,,
NaCl-Na2SO4,50-50,P1,980,1470,,227.8,-0.07,,,,,
NaCl-Na2SO4,75-25,P1,1025,1470,,208.3,-0.07,,,,,
NaCl-Na2SO4,100-0,P1,1080,1473,,197.3,-0.074,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, +3.4%, 1470 K, 0.0%.",
NaCl-Na2SO4,100-90 Na2SO4,I1,1173,,,69.65,1.205,,,,"For 100% Na2SO4 at 1173 K, the departure from the recommended data set is -0.7%.",
NaCl-PbCl2,0.0-100.0,P1,800,980,,222.2,-0.11,,,,"For 100% PbCl2, the departures from the recommended data set are: 800 K, -0.2%, 970 K, +1.2%.",
NaCl-PbCl2,25.0-75.0,P1,720,920,,207.5,-0.102,,,,,
NaCl-PbCl2,50.0-50.0,P1,840,1020,,214.5,-0.107,,,,,
NaCl-PbCl2,75.2-24.8,P1,1000,1180,,212.6,-0.1,,,,,
NaCl-PbCl2,100.0-0.0,P1,1100,1280,,216.2,-0.093,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K, +1.6%, 1240 K, -1.1%.",
NaCl-PrCl3,0-100,P1,1103,1199,,146.1,-0.03729,,,,"For 100% PrCl3, the results have been advanced as the recommended data set.",
NaCl-PrCl3,13.8-86.2,P1,1148,1183,,177.31,-0.06738,,,,,
NaCl-PrCl3,29-71,P1,1088,1198,,171.39,-0.06404,,,,,
NaCl-PrCl3,42.9-57.1,P1,1151,1213,,168.87,-0.06255,,,,,
NaCl-PrCl3,56.9-43.1,P1,1163,1203,,184.69,-0.0747,,,,,
NaCl-PrCl3,71-29,P1,1093,1202,,164.6,-0.05582,,,,,
NaCl-PrCl3,100-0,P1,1103,1223,,193.48,-0.0747,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K, -0.7%; 1200 K, -1.0%.",
NaCl-RbCl,0-100,P1,1010,1130,,169.5,-0.074,,,,"For 100% RbCl, the results have been advanced as the recommended data set.",
NaCl-RbCl,25-75,P1,900,1170,,174.8,-0.076,,,,,
NaCl-RbCl,50-50,P1,870,1170,,177.,-0.074,,,,,
NaCl-RbCl,75-25,P1,980,1170,,184.,-0.074,,,,,
NaCl-RbCl,100-0,P1,1090,1170,,197.3,-0.074,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, +3.4%, 1170 K, +3.4%.",
NaCl-SrCl2,100-0 SrCl2,I3,1073,,,113.937,0.39798,2.679E-4,1.4376E-5,,"For 100% SrCl2 at 1073 K, the departure from the recommended data set is -1.0%.",
NaCl-UCl3,0-100,P1,1123,1273,,311.5,-0.165,,,,"For 100% UCl3, the results have been advanced as the recommended data set.",
NaCl-UCl3,10-90,P1,1115,1273,,288.,-0.147,,,,,
NaCl-UCl3,20-80,P1,1115,1262,,271.8,-0.135,,,,,
NaCl-UCl3,30-70,P1,1110,1300,,212.,-0.128,,,,,
NaCl-UCl3,40-60,P1,1098,1253,,239.,-0.111,,,,,
NaCl-UCl3,50-50,P1,1098,1300,,229.,-0.103,,,,,
NaCl-UCl3,60-40,P1,1085,1280,,223.,-0.098,,,,,
